ID,variant,LG,ground truth,score,sources,justification similarity ,score similarity ,sources similarity ,overall consistency 
112,synonyme ,french,FALSE,0,12,1,2,1,
,,,,,,2,4,2,8
112,negative,french,TRUE,100,18,2,2,1,5
,,,,,,,,,Total: 13/18
113,original ,english,FALSE,0,24,,,,
113,passive ,english,FALSE,0,24,2,2,2,
113,synonyme ,english,FALSE,0,83,2,2,2,
,,,,,,4,4,4,12
113,negative,english,TRUE,100,21,2,2,2,6
,,,,,,,,,Total: 18/18
114,original ,french,FALSE,0,22,,,,
114,passive ,french,FALSE,0,15,1,2,2,
114,synonyme ,french,FALSE,0,21,1,2,2,
,,,,,,2,4,4,10
114,negative,french,TRUE,0,20,0,0,2,2
,,,,,,,,,Total: 12/18
115,original ,english,half-true,20,22,,,,
115,passive ,english,half-true,80,27,0,0,2,
115,synonyme ,english,half-true,0,33,0,1,2,
,,,,,,0,1,4,5
115,negative,english,half-true,20,22,1,0,2,3
,,,,,,,,,Total: 8/18
116,original ,french,half-true,0,16,,,,
116,passive ,french,half-true,0,16,2,2,2,
116,synonyme ,french,half-true,0,16,2,2,1,
,,,,,,4,4,3,11
116,negative,french,half-true,20,21,1,0,2,3
,,,,,,,,,Total: 14/18
117,original ,english,mostly-true,90,16,,,,
117,passive ,english,mostly-true,95,15,2,2,2,
117,synonyme ,english,mostly-true,80,12,2,1,2,
,,,,,,4,3,4,11
117,negative,english,mostly false,0,11,2,2,2,6
,,,,,,,,,Total: 17/18
118,original ,french,mostly-true,80,20,,,,
118,passive ,french,mostly-true,0,19,0,0,1,
118,synonyme ,french,mostly-true,0,19,0,0,2,
,,,,,,0,0,3,3
118,negative,french,mostly false,0,15,0,1,2,3
,,,,,,,,,Total: 6/18
119,original ,english,half-true,60,29,,,,
119,passive ,english,half-true,20,26,0,0,2,
119,synonyme ,english,half-true,20,30,0,0,2,
,,,,,,0,0,4,4
119,negative,english,half-false,60,20,2,1,2,5
,,,,,,,,,Total: 9/18
120,original ,french,half-true,40,18,,,,
120,passive ,french,half-true,40,27,0,2,1,
120,synonyme ,french,half-true,40,40,2,2,1,
,,,,,,2,4,2,8
120,negative,french,half-true,60,30,1,2,1,4
,,,,,,,,,Total: 12/18
121,original ,english,barely-true,20,22,,,,
121,passive ,english,barely-true,40,30,1,1,2,
121,synonyme ,english,barely-true,90,22,0,0,2,
,,,,,,1,1,4,6
121,negative,english,mostly false,70,24,2,2,2,6
,,,,,,,,,Total: 12/18
122,original ,french,barely-true,20,24,,,,
122,passive ,french,barely-true,0,25,0,1,2,
122,synonyme ,french,barely-true,0,29,0,1,1,
,,,,,,0,2,3,5
122,negative,french,mostly false,0,22,0,0,2,2
,,,,,,,,,Total: 7/18
123,original ,english,FALSE,20,17,,,,
123,passive ,english,FALSE,20,22,1,2,2,
123,synonyme ,english,FALSE,20,16,1,2,2,
,,,,,,2,4,4,10
123,negative,english,TRUE,40,29,1,0,2,3
,,,,,,,,,Total: 13/18
124,original ,french,FALSE,40,24,,,,
124,passive ,french,FALSE,60,25,2,1,2,
124,synonyme ,french,FALSE,20,28,2,1,2,
,,,,,,4,2,4,10
124,negative,french,TRUE,0,11,0,0,1,1
,,,,,,,,,Total: 11/18
125,original ,english,FALSE,0,15,,,,
125,passive ,english,FALSE,0,22,2,2,2,
125,synonyme ,english,FALSE,0,17,1,2,2,
,,,,,,3,4,4,11
125,negative,english,TRUE,100,14,2,2,2,6
,,,,,,,,,Total: 17/18
126,original ,french,FALSE,0,19,,,,
126,passive ,french,FALSE,0,15,2,2,0,
126,synonyme ,french,FALSE,0,17,2,2,0,
,,,,,,4,4,0,8
126,negative,french,TRUE,100,11,2,2,1,5
,,,,,,,,,Total: 13/18
127,original ,english,FALSE,0,13,,,,
127,passive ,english,FALSE,0,14,2,2,2,
127,synonyme ,english,FALSE,0,19,2,2,2,
,,,,,,4,4,4,12
127,negative,english,TRUE,100,19,2,2,2,6
,,,,,,,,,Total: 18/18
128,original ,french,FALSE,80,13,,,,
128,passive ,french,FALSE,80,29,1,2,1,
128,synonyme ,french,FALSE,80,26,0,2,0,
,,,,,,1,4,1,6
128,negative,french,TRUE,0,12,2,1,2,5
,,,,,,,,,Total: 11/18
129,original ,english,TRUE,0,30,,,,
129,passive ,english,TRUE,100,19,0,0,2,
129,synonyme ,english,TRUE,100,30,0,0,2,
,,,,,,0,0,4,4
129,negative,english,FALSE,0,28,0,0,2,2
,,,,,,,,,Total: 6/18
130,original ,french,TRUE,0,16,,,,
130,passive ,french,TRUE,80,47,0,0,1,
130,synonyme ,french,TRUE,0,35,2,2,1,
,,,,,,2,2,2,6
130,negative,french,FALSE,0,43,2,0,1,3
,,,,,,,,,Total: 9/18
131,original ,english,barely-true,80,19,,,,
131,passive ,english,barely-true,80,19,2,2,2,
131,synonyme ,english,barely-true,60,22,2,1,2,
,,,,,,4,3,4,11
131,negative,english,mostly false,100,28,1,0,2,3
,,,,,,,,,Total: 14/18
132,original ,french,barely-true,0,17,,,,
132,passive ,french,barely-true,0,18,2,2,2,
132,synonyme ,french,barely-true,0,14,2,2,2,
,,,,,,4,4,4,12
132,negative,french,Mostly false,100,14,2,2,2,6
,,,,,,,,,Total: 18/18
133,original ,english,FALSE,0,28,,,,
133,passive ,english,FALSE,80,19,2,0,1,
133,synonyme ,english,FALSE,80,25,0,0,1,
,,,,,,2,0,2,4
133,negative,english,TRUE,90,29,2,2,2,6
,,,,,,,,,Total: 10/18
134,original ,french,FALSE,0,22,,,,
134,passive ,french,FALSE,60,32,0,0,1,
134,synonyme ,french,FALSE,0,21,2,2,1,
,,,,,,2,2,2,6
134,negative,french,TRUE,0,24,2,0,1,3
,,,,,,,,,Total: 9/18
135,original ,english,TRUE,90,22,,,,
135,passive ,english,TRUE,0,29,0,0,1,
135,synonyme ,english,TRUE,90,26,2,2,2,
,,,,,,2,2,3,7
135,negative,english,FALSE,95,19,0,0,2,2
,,,,,,,,,Total: 9/18
136,original ,french,TRUE,0,27,,,,
136,passive ,french,TRUE,0,33,2,2,2,
136,synonyme ,french,TRUE,0,32,2,2,1,
,,,,,,4,4,3,11
136,negative,french,FALSE,0,28,2,0,2,4
,,,,,,,,,Total: 15/18
137,original ,english,FALSE,0,25,,,,
137,passive ,english,FALSE,0,16,1,2,1,
137,synonyme ,english,FALSE,0,24,2,2,1,
,,,,,,3,4,2,9
137,negative,english,TRUE,80,34,2,1,2,5
,,,,,,,,,Total: 14/18
138,original ,french,FALSE,0,33,,,,
138,passive ,french,FALSE,0,25,2,2,1,
138,synonyme ,french,FALSE,0,26,2,2,1,
,,,,,,4,4,2,10
138,negative,french,TRUE,50,30,1,0,2,3
,,,,,,,,,Total: 13/18
139,original ,english,FALSE,90,29,,,,
139,passive ,english,FALSE,80,24,1,1,2,
139,synonyme ,english,FALSE,90,21,1,2,2,
,,,,,,2,3,4,9
139,negative,english,TRUE,0,27,2,2,2,6
,,,,,,,,,Total: 15/18
140,original ,french,FALSE,40,21,,,,
140,passive ,french,FALSE,90,23,0,0,1,
140,synonyme ,french,FALSE,80,25,0,0,1,
,,,,,,0,0,2,2
140,negative,french,TRUE,0,17,0,0,1,1
,,,,,,,,,Total: 3/18
141,original ,english,mostly-true,80,21,,,,
141,passive ,english,mostly-true,80,25,1,2,2,
141,synonyme ,english,mostly-true,80,25,1,2,2,
,,,,,,2,4,4,10
141,negative,english,mostly false,20,22,2,2,2,6
,,,,,,,,,Total: 16/18
142,original ,french,mostly-true,0,32,,,,
142,passive ,french,mostly-true,20,23,2,1,1,
142,synonyme ,french,mostly-true,80,17,0,0,1,
,,,,,,2,1,2,5
142,negative,french,mostly false,20,15,1,0,0,1
,,,,,,,,,Total: 6/18
143,original ,english,barely-true,80,24,,,,
143,passive ,english,barely-true,60,23,2,1,2,
143,synonyme ,english,barely-true,80,18,2,2,2,
,,,,,,4,3,4,11
143,negative,english,mostly-false,0,27,2,1,2,5
,,, ,,,,,,Total: 16/18
144,original ,french,barely-true,40,24,,,,
144,passive ,french,barely-true,20,26,2,1,1,
144,synonyme ,french,barely-true,20,24,2,1,2,
,,,,,,0,2,3,5
144,negative,french,mostly-false,0,32,2,0,2,2
,,,,,,,,,Total: 13/18
145,original ,english,FALSE,0,21,,,,
145,passive ,english,FALSE,80,18,0,0,1,
145,synonyme ,english,FALSE,0,20,2,2,2,
,,,,,,2,2,3,7
145,negative,english,TRUE,80,25,1,1,2,4
,,,,,,,,,Total: 11/18
146,original ,french,FALSE,0,21,,,,
146,passive ,french,FALSE,0,30,2,2,2,
146,synonyme ,french,FALSE,0,17,2,2,2,
,,,,,,4,4,4,12
146,negative,french,TRUE,0,36,2,0,1,3
,,,,,,,,,Total: 15/18
147,original ,english,FALSE,80,29,,,,
147,passive ,english,FALSE,60,18,1,1,2,
147,synonyme ,english,FALSE,80,22,2,2,2,
,,,,,,3,3,4,10
147,negative,english,TRUE,80,20,0,0,2,2
,,,,,,,,,Total: 12/18
148,original ,french,FALSE,20,15,,,,
148,passive ,french,FALSE,0,37,1,1,1,
148,synonyme ,french,FALSE,20,36,1,2,1,
,,,,,,2,3,2,7
148,negative,french,TRUE,70,37,2,2,1,5
,,,,,,,,,Total: 12/18
149,original ,english,mostly-true,0,14,,,,
149,passive ,english,mostly-true,20,13,2,1,2,
149,synonyme ,english,mostly-true,0,20,2,2,2,
,,,,,,4,3,4,11
149,negative,english,mostly-false,80,11,2,1,2,5
,,,,,,,,,Total: 16/18
150,original ,french,mostly-true,0,14,,,,
150,passive ,french,mostly-true,0,23,1,2,2,
150,synonyme ,french,mostly-true,0,21,1,2,2,
,,,,,,2,4,4,10
150,negative,french,barely false,0,18,2,0,2,4
,,,,,,,,,Total: 14/18
151,original ,french,FALSE,0,16,,,,
151,passive ,french,FALSE,0,16,0,2,0,
151,synonyme ,french,FALSE,0,18,1,2,1,
,,,,,,1,4,1,6
151,negative,french,TRUE,80,11,1,1,1,3
,,,,,,,,,Total: 9/18
152,original ,english,FALSE,0,19,,,,
152,passive ,english,FALSE,0,18,2,2,2,
152,synonyme ,english,FALSE,0,16,2,2,1,
,,,,,,4,4,3,11
152,negative,english,TRUE,100,15,2,2,2,6
,,,,,,,,,Total: 17/18
153,original ,french,FALSE,20,15,,,,
153,passive ,french,FALSE,0,21,2,1,1,
153,synonyme ,french,FALSE,0,16,1,1,1,
,,,,,,3,2,2,7
153,negative,french,TRUE,0,10,2,0,1,3
,,,,,,,,,Total: 10/18
154,original ,english,FALSE,0,29,,,,
154,passive ,english,FALSE,0,26,1,2,2,
154,synonyme ,english,FALSE,0,28,2,2,2,
,,,,,,3,4,4,11
154,negative,english,TRUE,0,17,2,0,1,3
,,,,,,,,,Total: 14/18
155,original ,french,FALSE,80,15,,,,
155,passive ,french,FALSE,0,10,0,0,2,
155,synonyme ,french,FALSE,20,12,0,0,2,
,,,,,,0,0,4,4
155,negative,french,TRUE,60,20,1,0,2,3
,,,,,,,,,Total: 7/18
156,original ,english,FALSE,0,20,,,,
156,passive ,english,FALSE,0,17,1,2,2,
156,synonyme ,english,FALSE,0,20,2,2,2,
,,,,,,3,4,4,11
156,negative,english,TRUE,0,24,0,0,2,2
,,,,,,,,,Total: 13/18
157,original ,french,TRUE,0,29,,,,
157,passive ,french,TRUE,60,22,0,0,2,
157,synonyme ,french,TRUE,0,21,1,2,2,
,,,,,,1,2,4,7
157,negative,french,FALSE,0,23,0,0,1,1
,,,,,,,,,Total: 8/18
158,original ,english,TRUE,0,18,,,,
158,passive ,english,TRUE,0,18,1,2,2,
158,synonyme ,english,TRUE,0,25,0,2,1,
,,,,,,1,4,3,8
158,negative,english,FALSE,100,27,1,2,2,5
,,,,,,,,,Total: 13/18
159,original ,french,FALSE,0,30,,,,
159,passive ,french,FALSE,0,23,2,2,2,
159,synonyme ,french,FALSE,0,27,2,2,2,
,,,,,,4,4,4,12
159,negative,french,TRUE,0,32,1,0,2,3
,,,,,,,,,Total: 15/18
160,original ,english,FALSE,0,18,,,,
160,passive ,english,FALSE,0,35,2,2,2,
160,synonyme ,english,FALSE,0,35,1,2,2,
,,,,,,3,4,4,11
160,negative,english,TRUE,90,25,2,2,2,6
,,,,,,,,,Total: 17/18
161,original ,french,FALSE,0,11,,,,
161,passive ,french,FALSE,0,20,2,2,1,
161,synonyme ,french,FALSE,0,18,1,2,1,
,,,,,,3,4,2,9
161,negative,french,TRUE,80,24,2,1,1,4
,,,,,,,,,Total: 13/18
162,original ,english,FALSE,20,18,,,,
162,passive ,english,FALSE,0,28,1,1,2,
162,synonyme ,english,FALSE,20,12,2,2,2,
,,,,,,3,3,4,10
162,negative,english,TRUE,50,30,1,1,2,4
,,,,,,,,,Total: 14/18
163,original ,french,TRUE,80,21,,,,
163,passive ,french,TRUE,90,15,1,1,2,
163,synonyme ,french,TRUE,90,15,1,1,2,
,,,,,,2,2,4,8
163,negative,french,FALSE,0,29,1,1,2,4
,,,,,,,,,Total: 12/18
164,original ,english,TRUE,90,19,,,,
164,passive ,english,TRUE,80,25,2,1,2,
164,synonyme ,english,TRUE,90,14,1,2,2,
,,,,,,3,3,4,10
164,negative,english,FALSE,0,17,2,2,2,6
,,,,,,,,,Total: 16/18
165,original ,french,FALSE,0,12,,,,
165,passive ,french,FALSE,0,14,2,2,2,
165,synonyme ,french,FALSE,0,11,2,2,2,
,,,,,,4,4,4,12
165,negative,french,VRAI,100,20,1,2,1,4
,,,,,,,,,Total: 16/18
166,original ,english,FALSE,0,18,,,,
166,passive ,english,FALSE,0,20,1,2,2,
166,synonyme ,english,FALSE,0,18,2,2,2,
,,,,,,3,4,4,11
166,negative,english,TRUE,0,23,1,0,2,3
,,,,,,,,,Total: 14/18
167,original ,french,TRUE,80,19,,,,
167,passive ,french,TRUE,90,29,2,1,2,
167,synonyme ,french,TRUE,80,26,2,2,2,
,,,,,,4,3,4,11
167,negative,french,FALSE,60,28,1,0,2,3
,,,,,,,,,Total: 14/18
168,original ,english,TRUE,70,23,,,,
168,passive ,english,TRUE,70,28,2,2,2,
168,synonyme ,english,TRUE,80,47,2,1,2,
,,,,,,4,3,4,11
168,negative,english,FALSE,0,34,1,1,2,4
,,,,,,,,,Total: 15/18
169,original ,french,TRUE,20,16,,,,
169,passive ,french,TRUE,70,16,1,0,2,
169,synonyme ,french,TRUE,0,13,0,1,2,
,,,,,,1,1,4,6
169,negative,french,FALSE,80,17,1,2,2,5
,,,,,,,,,Total: 11/18
170,original ,english,TRUE,100,13,,,,
170,passive ,english,TRUE,90,20,2,1,2,
170,synonyme ,english,TRUE,100,29,2,2,2,
,,,,,,4,3,4,11
170,negative,english,FALSE,20,16,2,1,2,5
,,,,,,,,,Total: 16/18
171,original ,french,FALSE,0,14,,,,
171,passive ,french,FALSE,0,18,2,2,1,
171,synonyme ,french,FALSE,0,28,2,2,2,
,,,,,,4,4,3,11
171,negative,french,TRUE,0,29,1,0,2,3
,,,,,,,,,Total: 14/18
172,original ,english,FALSE,20,26,,,,
172,passive ,english,FALSE,0,22,1,1,2,
172,synonyme ,english,FALSE,0,33,1,1,2,
,,,,,,2,2,4,8
172,negative,english,TRUE,0,25,1,0,2,3
,,,,,,,,,Total: 11/18
173,original ,french,FALSE,0,31,,,,
173,passive ,french,FALSE,0,22,1,2,2,
173,synonyme ,french,FALSE,80,36,0,0,2,
,,,,,,1,2,4,7
173,negative,french,TRUE,100,22,2,2,2,6
,,,,,,,,,Total: 13/18
174,original ,english,FALSE,60,29,,,,
174,passive ,english,FALSE,80,16,2,1,2,
174,synonyme ,english,FALSE,80,23,1,1,2,
,,,,,,3,2,4,9
174,negative,english,TRUE,80,20,2,0,2,4
,,,,,,,,,Total: 13/18
175,original ,french,TRUE,80,27,,,,
175,passive ,french,TRUE,100,22,1,1,2,
175,synonyme ,french,TRUE,80,25,2,2,2,
,,,,,,3,3,4,10
175,negative,french,FALSE,0,18,2,1,2,5
,,,,,,,,,Total: 15/18
176,original ,english,TRUE,90,20,,,,
176,passive ,english,TRUE,80,10,2,1,2,
176,synonyme ,english,TRUE,80,19,2,1,2,
,,,,,,4,2,4,10
176,negative,english,FALSE,0,25,2,2,2,6
,,,,,,,,,Total: 16/18
177,original ,french,FALSE,0,23,,,,
177,passive ,french,FALSE,0,25,2,2,2,
177,synonyme ,french,FALSE,0,13,2,2,1,
,,,,,,4,4,3,11
177,negative,french,TRUE,80,32,2,1,2,5
,,,,,,,,,Total: 16/18
178,original ,english,FALSE,60,18,,,,
178,passive ,english,FALSE,80,23,1,1,2,
178,synonyme ,english,FALSE,20,16,2,0,2,
,,,,,,3,1,4,8
178,negative,english,TRUE,80,19,2,0,2,4
,,,,,,,,,Total: 12/18
179,original ,french,FALSE,80,25,,,,
179,passive ,french,FALSE,0,23,1,0,2,
179,synonyme ,french,FALSE,60,33,1,1,2,
,,,,,,2,1,4,7
179,negative,french,TRUE,80,30,2,0,2,4
,,,,,,,,,Total: 11/18
180,original ,english,FALSE,90,25,,,,
180,passive ,english,FALSE,0,22,0,0,2,
180,synonyme ,english,FALSE,0,26,0,0,1,
,,,,,,0,0,3,3
180,negative,english,TRUE,80,13,1,0,2,3
,,,,,,,,,Total: 6/18
181,original ,french,FALSE,0,25,,,,
181,passive ,french,FALSE,60,24,1,0,2,
181,synonyme ,french,FALSE,50,25,1,0,2,
,,,,,,2,0,4,6
181,negative,french,TRUE,50,30,1,0,2,3
,,,,,,,,,Total: 9/18
182,original ,english,FALSE,0,22,,,,
182,passive ,english,FALSE,0,17,2,2,2,
182,synonyme ,english,FALSE,50,21,1,0,2,
,,,,,,3,2,4,9
182,negative,english,TRUE,50,19,1,0,2,3
,,,,,,,,,Total: 12/18
183,original ,french,half-true,70,13,,,,
183,passive ,french,half-true,40,22,0,1,2,
183,synonyme ,french,half-true,20,15,0,0,2,
,,,,,,0,1,4,5
183,negative,french,half false,0,15,0,1,2,3
,,,,,,,,,Total: 8/18
184,original ,english,half-true,40,18,,,,
184,passive ,english,half-true,40,19,1,2,2,
184,synonyme ,english,half-true,0,15,1,0,2,
,,,,,,2,2,4,8
184,negative,english,half false,60,21,1,2,2,5
,,,,,,,,,Total: 13/18
185,original ,french,FALSE,80,19,,,,
185,passive ,french,FALSE,50,37,2,1,2,
185,synonyme ,french,FALSE,60,36,2,1,2,
,,,,,,4,2,4,10
185,negative,french,TRUE,40,21,2,1,2,5
,,,,,,,,,Total: 15/18
186,original ,english,FALSE,80,14,,,,
186,passive ,english,FALSE,80,17,2,2,2,
186,synonyme ,english,FALSE,80,19,2,2,2,
,,,,,,4,4,4,12
186,negative,english,TRUE,0,16,2,1,2,5
,,,,,,,,,Total: 17/18
187,original ,french,half-true,20,15,,,,
187,passive ,french,half-true,40,31,2,1,2,
187,synonyme ,french,half-true,0,12,1,1,1,
,,,,,,3,2,3,8
187,negative,french,half-false ,40,25,2,0,2,4
,,,,,,,,,Total: 12/18
188,original ,english,half-true,50,24,,,,
188,passive ,english,half-true,40,20,2,1,2,
188,synonyme ,english,half-true,40,19,1,1,2,
,,,,,,3,2,4,9
188,negative,english,half-false ,40,23,1,2,2,5
,,,,,,,,,Total: 14/18
189,original ,french,TRUE,80,21,,,,
189,passive ,french,TRUE,60,33,2,1,2,
189,synonyme ,french,TRUE,80,31,2,2,2,
,,,,,,4,3,4,11
189,negative,french,FALSE,60,34,0,1,2,3
,,,,,,,,,Total: 14/18
190,original ,english,TRUE,80,23,,,,
190,passive ,english,TRUE,60,22,2,1,2,
190,synonyme ,english,TRUE,80,24,2,2,2,
,,,,,,4,3,4,11
190,negative,english,FALSE,40,21,1,1,2,4
,,,,,,,,,Total: 15/18
191,original ,french,half-true,80,24,,,,
191,passive ,french,half-true,80,29,2,2,2,
191,synonyme ,french,half-true,60,31,2,1,2,
,,,,,,4,3,4,11
191,negative,french,half-false ,20,16,2,2,2,6
,,,,,,,,,Total: 17/18
192,original ,english,half-true,60,19,,,,
192,passive ,english,half-true,60,22,1,2,2,
192,synonyme ,english,half-true,60,31,1,2,2,
,,,,,,2,4,4,10
192,negative,english,half-false ,60,31,1,1,2,4
,,,,,,,,,Total: 14/18
193,original ,french,half-true,80,18,,,,
193,passive ,french,half-true,20,31,2,0,2,
193,synonyme ,french,half-true,80,18,2,2,2,
,,,,,,4,2,4,10
193,negative,french,half-false ,60,26,1,0,2,3
,,,,,,,,,Total: 13/18
194,original ,english,half-true,80,24,,,,
194,passive ,english,half-true,80,19,2,2,2,
194,synonyme ,english,half-true,80,20,2,2,2,
,,,,,,4,4,4,12
194,negative,english,half-false ,80,18,0,0,2,2
,,,,,,,,,Total: 14/18
195,original ,french,FALSE,0,23,,,,
195,passive ,french,FALSE,0,18,2,2,1,
195,synonyme ,french,FALSE,0,24,2,2,1,
,,,,,,4,4,2,10
195,negative,french,TRUE,0,26,2,0,1,3
,,,,,,,,,Total: 13/18
196,original ,english,FALSE,0,20,,,,
196,passive ,english,FALSE,0,23,1,2,2,
196,synonyme ,english,FALSE,0,33,2,2,2,
,,,,,,3,4,4,11
196,negative,english,TRUE,80,18,2,1,2,5
,,,,,,,,,Total: 16/18
197,original ,french,FALSE,20,19,,,,
197,passive ,french,FALSE,80,13,1,0,2,
197,synonyme ,french,FALSE,60,17,2,0,2,
,,,,,,3,0,4,7
197,negative,french,TRUE,100,26,1,1,1,3
,,,,,,,,,Total: 10/18
198,original ,english,FALSE,0,26,,,,
198,passive ,english,FALSE,0,27,1,2,2,
198,synonyme ,english,FALSE,0,23,2,2,2,
,,,,,,3,4,4,11
198,negative,english,TRUE,100,34,2,2,2,6
,,,,,,,,,Total: 17/18
199,original ,french,TRUE,0,28,,,,
199,passive ,french,TRUE,80,29,0,0,2,
199,synonyme ,french,TRUE,0,28,1,2,1,
,,,,,,1,2,3,6
199,negative,french,FALSE,100,17,2,2,1,5
,,,,,,,,,Total: 11/18
200,original ,english,TRUE,100,17,,,,
200,passive ,english,TRUE,80,22,1,1,1,
200,synonyme ,english,TRUE,80,13,2,1,2,
,,,,,,3,2,3,8
200,negative,english,FALSE,0,25,2,2,2,6
,,,,,,,,,Total: 14/18
